artist_id,artist_name,external_url
25uiPmTg16RbhZWAqwLBy5,Charli XCX,https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5
2mLA48B366zkELXYx7hcDN,Peggy Gou,https://api.spotify.com/v1/artists/2mLA48B366zkELXYx7hcDN
246dkjvS1zLTtiykXe5h60,Post Malone,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,https://api.spotify.com/v1/artists/3WGpXCj9YhhfX11TToZcXP
716NhGYqD1jl2wI1Qkgq36,Bizarrap,https://api.spotify.com/v1/artists/716NhGYqD1jl2wI1Qkgq36
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM
790FomKkXshlbRYZFtlgla,KAROL G,https://api.spotify.com/v1/artists/790FomKkXshlbRYZFtlgla
0EmeFodog0BfCgMzAIvKQp,Shakira,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp
1vqR17Iv8VFdzure1TAXEq,LIT killah,https://api.spotify.com/v1/artists/1vqR17Iv8VFdzure1TAXEq
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,https://api.spotify.com/v1/artists/5Y3MV9DZ0d87NnVm56qSY1
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,https://api.spotify.com/v1/artists/1DxLCyH42yaHKGK3cl5bvG
1bAftSH8umNcGZ0uyV7LMg,Duki,https://api.spotify.com/v1/artists/1bAftSH8umNcGZ0uyV7LMg
0AqlFI0tz2DsEoJlKSIiT9,Emilia,https://api.spotify.com/v1/artists/0AqlFI0tz2DsEoJlKSIiT9
3Apb2lGmGJaBmr0TTBJvIZ,Rusherking,https://api.spotify.com/v1/artists/3Apb2lGmGJaBmr0TTBJvIZ
2OhUNb01gLwygOizYvTm0e,Big One,https://api.spotify.com/v1/artists/2OhUNb01gLwygOizYvTm0e
0dUyjgCyjfj5eMx6bX2TWf,FMK,https://api.spotify.com/v1/artists/0dUyjgCyjfj5eMx6bX2TWf
