song_id,song_name,duration_ms,url,popularity,song_added,album_id,artist_id
6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,195986,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx,96,2023-07-24 09:27:47+00:00,4jtQUtS4ABgER3DnGfKJCv,2LRoIwlKmHjgvigdNGBHNo
1UMm1Qs3u59Wvk53zBUE8r,SABOR FRESA,156500,https://open.spotify.com/track/1UMm1Qs3u59Wvk53zBUE8r,94,2023-07-24 09:27:47+00:00,1vw6eLxCJRAfD6RMJTiuKZ,0ys2OFYzWYB5hRDLCsBqxt
7K3BhSpAxZBznislvUMVtn,Last Night,163854,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn,90,2023-07-24 09:27:47+00:00,6i7mF7whyRJuLJ4ogbH2wh,4oUHIQIBe0LHzYfvXNW4QM
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,215466,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,92,2023-07-24 09:27:47+00:00,5O0zUvdnJr0RbWzLFneN2i,1Xyo4u8uXC1ZmMpatF05PJ
02wk5BttM0QL38ERjLPQJB,Cool With You,147880,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,81,2023-07-24 09:27:47+00:00,4N1fROq2oeyLGAlQ1C1j18,6HvZYsbFfjnjFrWF950C9d
7bPp2NmpmyhLJ7zWazAXMu,TULUM,209415,https://open.spotify.com/track/7bPp2NmpmyhLJ7zWazAXMu,92,2023-07-24 09:27:47+00:00,4jox3ip1I39DFC2B7R5qLH,12GqGscKJx3aE4t07u7eVZ
5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",188361,https://open.spotify.com/track/5AqiaZwhmC6dIbgWrD5SzV,96,2023-07-24 09:27:47+00:00,5dKPhEYBhP8j85HcxQfaw6,716NhGYqD1jl2wI1Qkgq36
6rdkCkjk6D12xRpdMXy0I2,New Jeans,108986,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,88,2023-07-24 09:27:47+00:00,5V729UqvhwNOcMejx0m55I,6HvZYsbFfjnjFrWF950C9d
1haJsMtoBhHfvuM7XWuT3W,El Azul,187225,https://open.spotify.com/track/1haJsMtoBhHfvuM7XWuT3W,94,2023-07-24 09:27:47+00:00,2szyIt0ulaHnKxxyrlUCDB,7Gi6gjaWy3DxyilpF1a8Is
1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),239317,https://open.spotify.com/track/1s7oOCT8vauUh01PbJD6ps,83,2023-07-24 09:27:47+00:00,0nayxjaX54Frd7GsZq6Pbs,46pWGuE3dSwY3bMMXGBvVS
56v8WEnGzLByGsDAXDiv4d,ETA,151373,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d,80,2023-07-24 09:27:47+00:00,4N1fROq2oeyLGAlQ1C1j18,6HvZYsbFfjnjFrWF950C9d
368eeEO3Y2uZUQ6S5oIjcu,TQM,158965,https://open.spotify.com/track/368eeEO3Y2uZUQ6S5oIjcu,95,2023-07-24 09:27:47+00:00,3GqCt85yKxtKxnIivSN15e,0ys2OFYzWYB5hRDLCsBqxt
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),221520,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,95,2023-07-24 09:27:47+00:00,7txGsnDSqVMoRl6RQ9XyZP,0iEtIxbK0KxaSlF7G42ZOp
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,157560,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,88,2023-07-24 09:27:47+00:00,4g1ZRSobMefqF6nelkgibi,246dkjvS1zLTtiykXe5h60
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),180386,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,95,2023-07-24 09:27:47+00:00,2nkto6YNI4rUYTLqEwWJ3o,4V8LLVI7PbaPR0K2TGSxFF
1p80LdxRV74UKvL8gnD7ky,Blank Space,231826,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,84,2023-07-24 09:27:47+00:00,2QJmrSgbdM35R67eoGQo4j,06HL4z0CvFAxyc27GXpf02
4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,232131,https://open.spotify.com/track/4eMKD8MRroxCqugpsxCCNb,94,2023-07-24 09:27:47+00:00,6xRxlUUfg3M0QB1LUX89gA,0GM7qgcRCORpGnfcN2tCiB
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,200690,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,95,2023-07-24 09:27:47+00:00,151w1FgRZfnKZA9FEcg9Z3,06HL4z0CvFAxyc27GXpf02
4JdSXF2p71cr8uCY3UiJM0,Frágil,160517,https://open.spotify.com/track/4JdSXF2p71cr8uCY3UiJM0,94,2023-07-24 09:27:47+00:00,6iZUwDpa27jeAvKxs8UYI2,51ZSh80McCt7vbqHouzW0A
4lIxdJw6W3Fg4vUIYCB0S5,Style,231000,https://open.spotify.com/track/4lIxdJw6W3Fg4vUIYCB0S5,83,2023-07-24 09:27:47+00:00,2QJmrSgbdM35R67eoGQo4j,06HL4z0CvFAxyc27GXpf02
0DWdj2oZMBFSzRsi2Cvfzf,TQG,197933,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,95,2023-07-24 09:27:47+00:00,4kS7bSuU0Jm9LYMosFU2x5,790FomKkXshlbRYZFtlgla
1daDRI9ahBonbWD8YcxOIB,Angels Like You,196453,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,94,2023-07-24 09:27:47+00:00,5BRhg6NSEZOj0BR6Iz56fR,5YGY8feqx7naU7z4HrwZM6
4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,232857,https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2,88,2023-07-24 09:27:47+00:00,35dut3ICqF3NEDkjxfzJJ1,1Xyo4u8uXC1ZmMpatF05PJ
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),175238,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,95,2023-07-24 09:27:47+00:00,7M842DMhYVALrXsw3ty7B3,1Cs0zKBU1kc0i8ypK3B9ai
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,148485,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,95,2023-07-24 09:27:47+00:00,04PEOM6kIEeq9lRp1asNP2,5Pwc4xIPtQLFEnJriah9YJ
1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,338000,https://open.spotify.com/track/1Hs1uUl8o2VtDp1DABFq0O,95,2023-07-24 09:27:47+00:00,6DVg3IJPFr7JZDDXYcyPbU,1vqR17Iv8VFdzure1TAXEq
